NID,ID,PROYECTO,SONDAJE,ESTE,SUR,HUSO,ZONA,TIPO,ZI,ZF,N1,N2,N3,NR,TIPO DE SUELO,DUREZA ESTIMADA,N FREATICO,DESCRIPCION,,,,
08-3 dijitos del sonsaje,237,BODEGA FESUR,S-1,683182.00,5905557.00,18,H,,0.00,1.00,,,,,-,-,,Relleno gravoso y arena media,,,,
,237,BODEGA FESUR,S-1,683182.00,5905557.00,18,H,,1.00,1.45,,,,,Granular,Media,,Relleno gravoso y arena media,,,,
,237,BODEGA FESUR,S-1,683182.00,5905557.00,18,H,,2.00,2.45,,,,,Granular,Suelta,,Arena media a fina color gris,,,,
,237,BODEGA FESUR,S-1,683182.00,5905557.00,18,H,,3.00,3.45,,,,,Granular,Media,,Arena media color gris,,,,
,237,BODEGA FESUR,S-1,683182.00,5905557.00,18,H,,4.00,4.45,,,,,Fino,Media,4.00,Limo arenoso color pardo,,,,
,237,BODEGA FESUR,S-1,683182.00,5905557.00,18,H,,5.00,5.45,,,,,Granular,Media,,Arena fina con finos color pardo,,,,
,237,BODEGA FESUR,S-1,683182.00,5905557.00,18,H,,5.00,6.45,,,,,Granular,Suelta,,Arena fina con finos color pardo y limo plastico color gris,,,,
,237,BODEGA FESUR,S-1,683182.00,5905557.00,18,H,,7.00,7.45,,,,,Granular,Com,,Arena media a fina color pardo,,,,
,237,BODEGA FESUR,S-1,683182.00,5905557.00,18,H,,8.00,8.18,,,,,Granular,Muy Compacta,,Arena media a gruesa,,,,
,237,BODEGA FESUR,S-2,683182.00,5905554.00,18,H,,0.00,1.00,,,,,-,-,,Relleno gravoso y arena media,,,,
,237,BODEGA FESUR,S-2,683182.00,5905554.00,18,H,,1.00,1.45,,,,,Granular,Muy suelta,,Relleno gravoso y arena media,,,,
,237,BODEGA FESUR,S-2,683182.00,5905554.00,18,H,,2.00,2.45,,,,,Granular,Media,,Arena media a fina color gris,,,,
,237,BODEGA FESUR,S-2,683182.00,5905554.00,18,H,,3.00,3.45,,,,,Granular,Media,,Arena media color gris,,,,
,237,BODEGA FESUR,S-2,683182.00,5905554.00,18,H,,4.00,4.45,,,,,Fino,Media,4.10,Limo arenoso color pardo,,,,
,237,BODEGA FESUR,S-2,683182.00,5905554.00,18,H,,5.00,5.45,,,,,Granular,Suelta,,Arena fina con finos color pardo,,,,
,237,BODEGA FESUR,S-2,683182.00,5905554.00,18,H,,5.00,6.45,,,,,Granular,Suelta,,Arena fina con finos color pardo y limo plastico color gris,,,,
,237,BODEGA FESUR,S-2,683182.00,5905554.00,18,H,,7.00,7.45,,,,,Granular,Muy Compacta,,Arena media a fina color pardo,,,,
,237,BODEGA FESUR,S-2,683182.00,5905554.00,18,H,,8.00,8.18,,,,,Granular,Muy Compacta,,Arena media a gruesa,,,,
,228,SONDEO HQ3 RENGO,S-1,673324.65,5923281.07,18,H,,0.00,5.00,,,,,-,-,"1.38,1.87 ",,,,,
,228,SONDEO HQ3 RENGO,S-1,673324.65,5923281.07,18,H,,5.00,5.45,,,,,Fino, Dura,5.00,Arcilla plástica color pardo. Dilantancia nula. Resistencia seca alta.,,,,
,228,SONDEO HQ3 RENGO,S-1,673324.65,5923281.07,18,H,,8.00,8.60,,,,,Granular, Muy compacta,,Arena arcillosa color pardo amarillento. Humedad alta.,,,,
,228,SONDEO HQ3 RENGO,S-1,673324.65,5923281.07,18,H,,10.00,10.37,,,,,Granular, Muy compacta,,Arena arcillosa color pardo amarillento. Humedad alta. Cementacion incipiente. Lentes limosos,,,,
,228,SONDEO HQ3 RENGO,S-1,673324.65,5923281.07,18,H,,13.00,13.45,,,,,Granular, Media,,Arena limosa color pardo oscuro. Compacidad media. Humedad alta.,,,,
,228,SONDEO HQ3 RENGO,S-1,673324.65,5923281.07,18,H,,15.00,15.41,,,,,Granular, Muy compacta,,Arena limosa color pardo oscuro a gris verdoso. Muy compacta. Humedad alta,,,,
,228,SONDEO HQ3 RENGO,S-1,673324.65,5923281.07,18,H,,16.00,17.00,,,,,Granular, Muy compacta,,Arena limosa color pardo oscuro a gris verdoso. Muy compacta. Cementada,,,,
,228,SONDEO HQ3 RENGO,S-1,673324.65,5923281.07,18,H,,17.00,17.24,,,,,Granular, Muy compacta,,Arena limosa color pardo oscuro a gris verdoso. Muy compacta. Humedad alta,,,,
,228,SONDEO HQ3 RENGO,S-1,673324.65,5923281.07,18,H,,17.24,18.50,,,,,Roca, Muy compacta,,Arenisca cementada de color verde.,,,,
,228,SONDEO HQ3 RENGO,S-1,673324.65,5923281.07,18,H,,18.50,20.00,,,,,Roca, Muy compacta,,Arenisca cementada de color verde,,,,
,228,SONDEO HQ3 RENGO,S-1,673324.65,5923281.07,18,H,,20.00,21.50,,,,,Roca, Muy compacta,,Arenisca cementada de color verde.,,,,
,228,SONDEO HQ3 RENGO,S-1,673324.65,5923281.07,18,H,,21.50,23.00,,,,,Roca, Muy compacta,,Arenisca cementada de color verde,,,,
,228,SONDEO HQ3 RENGO,S-1,673324.65,5923281.07,18,H,,23.00,24.50,,,,,Roca, Muy compacta,,Limolita color gris oscuro.,,,,
,228,SONDEO HQ3 RENGO,S-1,673324.65,5923281.07,18,H,,24.50,26.00,,,,,Roca, Muy compacta,,Limolita color gris oscuro.,,,,
,228,SONDEO HQ3 RENGO,S-1,673324.65,5923281.07,18,H,,26.00,27.50,,,,,Roca, Muy compacta,,Arenisca cementada de color verde.,,,,
,228,SONDEO HQ3 RENGO,S-1,673324.65,5923281.07,18,H,,27.50,29.00,,,,,Roca, Muy compacta,,Arenisca cementada de color verde.,,,,
,228,SONDEO HQ3 RENGO,S-1,673324.65,5923281.07,18,H,,29.00,30.00,,,,,Roca, Muy compacta,,Arenisca cementada de color verde.,,,,
,-,PTAS Villa Alegre,S-1,249959.00,6049399.00,19,H,,0.00,1.00,,,,,-,,,0,,,,
,,PTAS Villa Alegre,S-1,249959.00,6049399.00,19,H,,1.00,1.45,,,,,Granular,Muy suelta,,Arena limosa color pardo oscuro. Fino plástico,,,,
,,PTAS Villa Alegre,S-1,249959.00,6049399.00,19,H,,2.00,2.45,,,,,Granular,Media,,Arena limosa color pardo oscuro. Fino plástico,,,,
,,PTAS Villa Alegre,S-1,249959.00,6049399.00,19,H,,3.00,3.45,,,,,Granular,Suelta,,Arena limosa color pardo oscuro. Fino plástico,,,,
,,PTAS Villa Alegre,S-1,249959.00,6049399.00,19,H,,4.00,4.45,,,,,Granular,Suelta,,Arena limosa color pardo oscuro. Fino plástico,,,,
,,PTAS Villa Alegre,S-1,249959.00,6049399.00,19,H,,4.45,5.05,,,,,Fino,Rigida,,Limo arenoso plastico color pardo oscuro,,,,
,,PTAS Villa Alegre,S-1,249959.00,6049399.00,19,H,,5.05,5.50,,,,,Fino,Media,,Limo arenoso plastico color pardo oscuro,,,,
,,PTAS Villa Alegre,S-1,249959.00,6049399.00,19,H,,5.50,6.10,,,,,Fino,Rigida,5.6,Limo arenoso plastico color pardo oscuro,,,,
,,PTAS Villa Alegre,S-1,249959.00,6049399.00,19,H,,6.10,6.55,,,,,Fino,media,,Limo arenoso plastico color pardo oscuro,,,,
,,PTAS Villa Alegre,S-1,249959.00,6049399.00,19,H,,7.00,7.29,,,,,Fino,Rigida,,Limo arenoso plastico color pardo oscuro con gravas ,,,,
,,PTAS Villa Alegre,S-1,249959.00,6049399.00,19,H,,7.29,10,,,,,Granular,Muy Compacta,,Gravas en matriz areno limosa,,,,
,,APR Colicheu,S-1,742305.51,5898504.04,18,H,,0.00,1.00,,,,,,,,,,,,
,,APR Colicheu,S-1,742305.51,5898504.04,18,H,,1.00,1.45,,,,,,,,"Arena Fina color gris, grano angular a sub angular, mal graduada, humedad media a alta, compacta.",,,,
,,APR Colicheu,S-1,742305.51,5898504.04,18,H,,2.00,2.45,,,,,,,,"Arcilla arenosa color café, plasticidad alta, humedad alta, consistencia blanda a media. Arena fina a gruesa bien graduada, suelta, grano angular a subangular. Presencia de material cementado.",,,,
,,APR Colicheu,S-1,742305.51,5898504.04,18,H,,3.00,3.45,,,,,,,,"Arcilla arenosa color café, plasticidad alta, humedad alta, consistencia blanda a media. Arena fina a gruesa bien graduada, suelta, grano angular a subangular. Presencia de material cementado.",,,,
,,APR Colicheu,S-1,742305.51,5898504.04,18,H,,3.45,4.05,,,,,,,,"Arcilla arenosa color café, plasticidad alta, humedad alta, consistencia blanda a media. Arena fina a gruesa bien graduada, suelta, grano angular a subangular. Presencia de material cementado.",,,,
,,APR Colicheu,S-1,742305.51,5898504.04,18,H,,4.05,4.50,,,,,,,,"Arcilla arenosa color blanquecino a café, plasticidad alta, humedad alta consistencia blanda a media. Arena de grano fino a medio, mal graduada, suelta.",,,,
,,APR Colicheu,S-1,742305.51,5898504.04,18,H,,4.50,5.10,,,,,,,,"Arcilla arenosa color blanquecino a café, plasticidad alta, humedad alta consistencia blanda a media. Arena de grano fino a medio, mal graduada, suelta.",,,,
,,APR Colicheu,S-1,742305.51,5898504.04,18,H,,5.10,5.55,,,,,,,,"Arcilla arenosa color blanquecino a café, plasticidad alta, humedad alta consistencia blanda a media. Arena de grano fino a medio, mal graduada, suelta. Presencia de material cementado",,,,
,,APR Colicheu,S-1,742305.51,5898504.04,18,H,,5.55,6.15,,,,,,,,"Arcilla arenosa color blanquecino a café, plasticidad alta, humedad alta consistencia blanda a media. Arena de grano fino a medio, mal graduada, suelta. Presencia de material cementado",,,,
,,APR Colicheu,S-1,742305.51,5898504.04,18,H,,6.15,6.60,,,,,,,,"Material cementado de Matriz arcillosa arenosa, plasticidad baja, humedad alta, consistencia media.",,,,
,,APR Colicheu,S-1,742305.51,5898504.04,18,H,,7.00,7.45,,,,,,,,"Arcilla arenosa color blanquecino a café claro, plasticidad alta, humedad alta consistencia media. Arena fina de grano angular a subangular, mal graduada, suelta.",,,,
,,APR Colicheu,S-1,742305.51,5898504.04,18,H,,7.45,8.05,,,,,,,,"Arcilla arenosa color blanquecino a café claro, plasticidad alta, humedad alta consistencia media. Arena fina de grano angular a subangular, mal graduada, suelta.",,,,
,,APR Colicheu,S-1,742305.51,5898504.04,18,H,,8.05,8.50,,,,,,,,"Arcilla arenosa color blanquecino a café claro, plasticidad alta, humedad alta consistencia media. Arena fina de grano angular a subangular, mal graduada, suelta.",,,,
,,APR Colicheu,S-1,742305.51,5898504.04,18,H,,9.00,9.45,,,,,,,,"Arena arcillosa café oscuro, grano fino a medio, angular a subangular, mal graduada. arcilla de plasticidad alta, humedad alta, consistencia media. Presencia de material cementado de matriz arcillosa.",,,,
,,APR Colicheu,S-1,742305.51,5898504.04,18,H,,10.00,10.45,,,,,,,,"Arena arcillosa café oscuro, grano fino a medio, angular a subangular, mal graduada. arcilla de plasticidad alta, humedad alta, consistencia media. Presencia de material cementado de matriz arcillosa.",,,,
,,APR Colicheu,S-1,742305.51,5898504.04,18,H,,11.00,11.45,,,,,,,,"Entre 0 - 45 cm Arcilla limosa arenosa blanquecina a café, plasticidad alta, humedad alta consistencia media a dura. Arena de grano fino a medio, mal graduada. Entre 45 y 60 cm arena arcillosa, grano fino a medio, compacidad media. Arcilla de plasticidad media a alta, consistencia media a alta, humedad alta",,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,0.00,1.00,,,,,,-,,Base estabilizada y maicillo. Compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,1.00,1.45,,,,,Granular,Muy suelta,,Arcilla plastica color café con gravas dispersas. Probable relleno.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,2.00,2.45,,,,,Granular,Muy suelta,,Arena media mal graduada. Compacidad media. Humedad alta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,3.00,3.45,,,,,Granular,Media,,Arena bien graduada media a gruesa. Compacta. Humedad alta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,4.00,4.45,,,,,Granular,Media,,Arena bien graduada media a gruesa. Compacta. Humedad alta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,5.00,5.45,,,,,Granular,Media,,Arena bien graduada media a gruesa. Compacta. Humedad alta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,6.00,6.45,,,,,Granular,Media,6,"Arena limosa con cementacion incipiente, color gris verdoso",,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,7.00,7.45,,,,,Granular,Media,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,7.45,8.00,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,8.00,9.50,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,9.50,11.00,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,11.00,12.50,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,12.50,14.00,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,14.00,15.50,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,15.50,17.00,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,17.00,18.50,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
